url,language,language_code,speakers,category,notes
https://www.youtube.com/watch?v=oX7OduG1YmI&t=39s,english,en,2,interview,
https://www.youtube.com/watch?v=7ARBJQn6QkM&t=59s,english,en,2,interview,
https://www.youtube.com/watch?v=7iD6n9bRZns&t=423s,english,en,2,interview,
https://www.youtube.com/watch?v=hmtuvNfytjM&t=5s,english,en,2,interview,
https://www.youtube.com/watch?v=BEWz4SXfyCQ,english,en,3,interview,
https://www.youtube.com/watch?v=cwSXDr7XkNc,english,en,20,conference,Large group discussion
https://www.youtube.com/watch?v=lhFU5H5KPFE,english,en,2,interview,
https://youtu.be/BlN7RIHu03I?si=etkR4qxHbPxDn45u,english,en,3,interview,
https://www.youtube.com/watch?v=GOqEl4ADyVk,english,en,2,interview,
https://www.youtube.com/watch?v=ru44DngJYoA,english,en,2,interview,
https://www.youtube.com/watch?v=lBVtvOpU80Q,english,en,7,meeting,GitLab meeting
https://www.youtube.com/watch?v=rOqgRiNMVqg,english,en,9,meeting,GitLab meeting
https://www.youtube.com/watch?v=DcWqzZ3I2cY,english,en,2,podcast,Lex Fridman - Jeff Bezos
https://www.youtube.com/watch?v=sY8aFSY2zv4,english,en,2,podcast,Lex Fridman - Jordan Peterson
https://www.youtube.com/watch?v=qCbfTN-caFI,english,en,2,podcast,Lex Fridman - Trump
https://www.youtube.com/watch?v=T3FC7qIAGZk,english,en,2,podcast,Lex Fridman - Andrew Bustamante
https://www.youtube.com/watch?v=Oa0ZHfcalCM,english,en,multiple,documentary,BBC World Service - AI revolution
https://www.youtube.com/watch?v=2VXbY4V7LCk,english,en,2,interview,Tucker Carlson - John Mearsheimer
https://www.youtube.com/watch?v=sHaJFMbgxu4,english,en,2,podcast,Indian accent - Raj Shamani
https://www.youtube.com/watch?v=CoadcmchwHc,english,en,unknown,other,
https://youtu.be/k8K6wQLxooU?si=HrHn1wsYw6CqXyxm,english,en,20,meeting,GitLab meeting
https://www.youtube.com/watch?v=9YtDu0CsN-Y,english,en,2,outdoor-vlog,
https://www.youtube.com/watch?v=PZHD6YwCZWM,english,en,multiple,outdoor-vlog,
https://www.youtube.com/watch?v=J4AKpH47mko&t=51s,chinese,zh-Hans,2,interview,
https://www.youtube.com/watch?v=77VBHjMWISo,chinese,zh,3,interview,
https://www.youtube.com/watch?v=X237Q4jtvjQ,chinese,zh,3,interview,
https://www.youtube.com/watch?v=8V_FFbfw2Xk,chinese,zh,multiple,news,
https://www.youtube.com/watch?v=pDxi9MljStw,chinese,zh-Hans,3,podcast,
https://www.youtube.com/watch?v=he1gbtoWtdI,chinese,zh-TW,3,podcast,Traditional Chinese
https://www.youtube.com/watch?v=m3CsZlYzMNI,chinese,zh,2,podcast,
https://www.youtube.com/watch?v=kVgHR2ftJ2s,chinese,zh,2,podcast,
https://www.youtube.com/watch?v=5HeSYDNA10E,chinese,zh,2,podcast,
https://www.youtube.com/watch?v=CMX832pYYqU,chinese,zh,2,podcast,
https://www.youtube.com/watch?v=87XNa4xP0jM,chinese,zh,2,podcast,
https://www.youtube.com/watch?v=R9SS02XDWJQ,chinese,zh,2,podcast,
https://www.youtube.com/watch?v=wstsYC8D4gc,chinese,zh,2,podcast,
https://www.youtube.com/watch?v=y3TTGsG8_uE,chinese,zh,2,podcast,
https://www.youtube.com/watch?v=ktEw3JhSnoU,chinese,zh,2,podcast,
https://www.youtube.com/watch?v=MHiceB78f2Y,chinese,zh,5,podcast,
